TA_ID,No_Of_Doubts_Solved
47,1
1940,26
6974,1
8709,26
10064,16
11519,8
12586,4
13430,8
13443,168
14491,61
15082,20
16027,71
16332,2
18159,17
18338,27
18976,48
19167,18
19706,26
19839,73
20991,14
22168,15
22200,28
23403,36
23839,12
24418,15
25964,53
26712,24
27368,27
28716,14
29011,5
29564,14
32114,2
33921,39
34034,23
34120,55
34801,12
35759,85
36496,23
36526,10
37707,16
37843,2
38663,9
38704,7
41916,5
41919,79
42694,16
42834,35
43283,15
43738,97
44368,96
44538,142
44667,17
46005,18
47173,73
47359,5
50408,97
57222,55
57782,1
59249,37
59431,5
64850,35
64985,16
68099,18
71630,13
79641,53
80495,32
84811,1
90782,3
92901,20
106179,9
107173,5
108746,20
112367,33
116016,2
117532,25
117612,46
120623,77
120964,76
121098,3
123919,1
126618,4
127311,57
129364,109
133932,82
136471,83
142512,16
146334,2
147524,3
149304,17
149721,14
152601,22
152773,73
153283,71
156881,26
156891,2
157639,20
157979,13
158146,11
161259,53
162336,10
163412,24
163823,71
164611,57
165071,1
165368,5
165790,18
170607,17
170696,12
170702,35
171176,58
171260,29
172741,12
173141,43
173143,57
173282,2
174596,16
175223,38
175277,60
176891,14
177315,20
178512,74
178731,7
184640,36
186431,41
192895,20
194154,33
199962,52
200604,92
204942,24
207602,5
208720,40
210608,47
212508,3
213730,29
218573,37
221598,64
222833,7
224133,61
265305,75
265647,9
279604,47
282306,65
296700,124
309608,3
331381,32
343098,39
368274,1
