id,user_id,doubt_id,created_at,activity_type,user_type
2121459,382823,248194,2020-01-01 04:56:07 UTC,resolve,Student
2121492,382823,248193,2020-01-01 05:05:30 UTC,resolve,Student
2121502,357687,248190,2020-01-01 05:07:36 UTC,resolve,Student
2121552,240547,248201,2020-01-01 05:26:25 UTC,resolve,Student
2121607,401648,248207,2020-01-01 05:38:41 UTC,resolve,Student
2121615,466687,248212,2020-01-01 05:40:47 UTC,resolve,Student
2121669,367611,248209,2020-01-01 05:50:29 UTC,resolve,Student
2121696,484997,248214,2020-01-01 05:56:36 UTC,resolve,Student
2121757,999,248221,2020-01-01 06:44:01 UTC,resolve,Student
2121807,145082,248223,2020-01-01 07:10:05 UTC,resolve,Student
2121819,303664,248243,2020-01-01 07:23:33 UTC,resolve,Student
2121831,406475,248237,2020-01-01 07:30:47 UTC,resolve,Student
2121834,71668,248225,2020-01-01 07:32:29 UTC,resolve,Student
2121891,196224,248213,2020-01-01 07:42:59 UTC,resolve,Student
2121901,474731,248244,2020-01-01 07:47:44 UTC,resolve,Student
2122001,29209,248262,2020-01-01 08:12:31 UTC,resolve,Student
2122009,77245,248269,2020-01-01 08:16:02 UTC,resolve,Student
2122019,29209,248266,2020-01-01 08:20:49 UTC,resolve,Student
2122070,431527,248275,2020-01-01 08:35:25 UTC,resolve,Student
2122095,29209,248274,2020-01-01 08:41:52 UTC,resolve,Student
2122125,53629,248226,2020-01-01 08:45:11 UTC,resolve,Student
2122145,348972,248253,2020-01-01 08:49:26 UTC,resolve,Student
2122175,404880,248276,2020-01-01 08:56:16 UTC,resolve,Student
2122210,29209,248287,2020-01-01 09:04:16 UTC,resolve,Student
2122287,484997,248294,2020-01-01 09:21:26 UTC,resolve,Student
2122295,41592,248290,2020-01-01 09:23:15 UTC,resolve,Student
2122303,142512,248252,2020-01-01 09:24:44 UTC,resolve,Student
2122309,206930,248288,2020-01-01 09:25:29 UTC,resolve,Student
2122347,482979,248301,2020-01-01 09:34:53 UTC,resolve,Student
2122481,365176,248284,2020-01-01 10:05:53 UTC,resolve,Student
2122486,422398,248249,2020-01-01 10:06:39 UTC,resolve,Student
2122489,145082,248238,2020-01-01 10:06:55 UTC,resolve,Student
2122503,129846,248305,2020-01-01 10:09:24 UTC,resolve,Student
2122504,236402,248311,2020-01-01 10:09:29 UTC,resolve,Student
2122507,999,248220,2020-01-01 10:09:45 UTC,resolve,Student
2122524,421498,248302,2020-01-01 10:12:35 UTC,resolve,Student
2122571,456862,248324,2020-01-01 10:18:59 UTC,resolve,Student
2122615,71668,248300,2020-01-01 10:26:53 UTC,resolve,Student
2122644,398570,248283,2020-01-01 10:38:03 UTC,resolve,Student
2122655,375931,248240,2020-01-01 10:41:29 UTC,resolve,Student
2122686,394946,248272,2020-01-01 10:48:37 UTC,resolve,Student
2122706,303664,248242,2020-01-01 10:53:23 UTC,resolve,Student
2122729,107248,248306,2020-01-01 10:57:00 UTC,resolve,Student
2122733,294653,248344,2020-01-01 10:58:33 UTC,resolve,Student
2122779,405725,248355,2020-01-01 11:12:09 UTC,resolve,Student
2122788,316104,248346,2020-01-01 11:14:49 UTC,resolve,Student
2122804,457189,248322,2020-01-01 11:16:59 UTC,resolve,Student
2122913,348972,248366,2020-01-01 11:39:20 UTC,resolve,Student
2122933,95013,248368,2020-01-01 11:43:07 UTC,resolve,Student
2122936,95013,248371,2020-01-01 11:43:47 UTC,resolve,Student
