doubt_id,TA_ID
248188,34120
248189,156881
248190,165368
248191,208720
248192,163412
248193,120623
248194,265305
248195,47173
248196,177315
248197,177315
248198,127311
248199,37707
248200,34120
248202,194154
248203,57222
248204,47173
248205,175223
248206,161259
248207,165368
248208,27368
248209,165368
248210,34120
248211,44538
248212,165368
248213,106179
248214,165368
248215,175223
248216,79641
248217,133932
248218,33921
248219,44538
248220,120623
248221,120964
248222,42834
248224,71630
248225,136471
248226,170702
248227,218573
248228,16027
248229,34120
248230,43738
248231,44538
248232,18338
248233,136471
248234,296700
248235,282306
248236,43738
248237,265305
248238,57222
248239,117532
248240,23839
248241,34120
248242,15082
248244,265305
248245,13443
248246,157639
248247,296700
248248,1940
248249,142512
248250,194154
248251,27368
248252,192895
248253,170702
248254,80495
248255,44538
248256,163412
248257,16027
248258,13443
248259,14491
248260,173143
248261,44538
248262,120964
248263,208720
248264,34120
248265,165790
248266,120964
248267,265305
248268,178512
248270,29011
248271,200604
248272,265305
248273,43738
248274,164611
248275,170702
248276,164611
248277,36496
248278,50408
248279,36496
248280,43738
248281,79641
248282,265305
248283,136471
248284,23839
248285,79641
248286,213730
248287,164611
248288,192895
248289,296700
248291,177315
248292,36496
248293,33921
248295,178731
248296,200604
248297,161259
248298,43738
248299,16027
248300,120623
248302,120964
248303,221598
248304,43738
248306,50408
248307,213730
248308,213730
248309,142512
248310,34120
248312,13443
248313,43738
248314,50408
248315,44538
248316,117612
248317,47173
248318,79641
248319,79641
248320,173143
248321,163412
248322,50408
248323,343098
248324,120623
248325,79641
248326,165790
248327,47173
248328,8709
248329,18976
248330,13443
248331,296700
248332,13443
248333,200604
248334,161259
248335,34120
248336,282306
248337,71630
248338,120964
248339,173141
248340,47173
248341,207602
248342,224133
248343,64850
248345,163412
248346,120964
248347,20991
248348,57222
248349,296700
248350,149304
248351,79641
248352,13443
248353,170696
248354,127311
248356,175223
248357,210608
248358,36496
248359,36496
248360,120623
248361,13443
248362,152773
248363,43738
248364,46005
248365,136471
248366,213730
248367,177315
248368,192895
248369,19839
248370,43738
248371,192895
248372,200604
248373,163412
248374,13443
248375,296700
248376,136471
248377,120623
248378,18338
248379,13443
248380,171176
248381,44538
248382,184640
248384,172741
248385,33921
248386,213730
248387,47173
248388,79641
248389,175223
248390,152773
248391,152773
248392,50408
248393,13443
248395,38663
248396,152773
248397,172741
248398,42834
248399,50408
248400,213730
248401,57222
248402,208720
248403,171176
248404,208720
248405,164611
248406,34120
248407,13443
248408,282306
248409,46005
248410,152773
248411,79641
248412,218573
248413,71630
248414,44538
248415,152773
248416,33921
248417,44538
248418,161259
248419,18338
248420,46005
248421,173141
248422,152773
248423,296700
248424,224133
248425,136471
248426,79641
248427,13443
248428,152773
248429,152773
248430,136471
248431,13443
248432,282306
248433,50408
248434,33921
248435,34120
248436,41919
248437,24418
248438,13443
248439,265305
248440,13443
248441,57222
248442,36496
248443,279604
248444,79641
248445,129364
248446,108746
248447,34120
248448,184640
248449,208720
248450,13443
248451,120964
248452,41919
248453,79641
248454,25964
248455,44538
248456,13443
248457,79641
248458,296700
248459,170702
248460,204942
248461,108746
248462,129364
248463,13443
248464,265305
248465,79641
248466,41919
248467,25964
248468,41919
248469,50408
248470,136471
248471,16027
248472,175223
248473,79641
248474,37707
248475,13443
248476,8709
248477,16027
248478,13443
248479,79641
248480,44538
248481,13443
248482,279604
248483,50408
248484,133932
248485,133932
248486,35759
248487,19706
248488,41919
248489,161259
248490,50408
248491,173143
248492,331381
248493,16027
248494,172741
248495,117612
248496,296700
248497,221598
248498,16027
248499,13443
248500,13443
248501,117612
248503,41919
248504,34120
248505,175223
248506,43738
248507,120623
248508,34120
248509,265305
248510,200604
248511,36496
248512,44538
248513,44538
248514,279604
248515,161259
248516,16027
248517,41919
248518,34801
248519,84811
248520,41919
248521,279604
248522,117612
248523,80495
248524,224133
248525,43738
248526,36496
248527,172741
248528,175223
248529,210608
248530,296700
248531,120623
248532,296700
248533,50408
248534,153283
248535,108746
248537,296700
248538,18976
248539,296700
248540,117612
248541,171176
248542,15082
248543,175223
248544,331381
248546,57222
248547,120623
248548,108746
248549,43738
248550,57222
248551,171176
248552,175223
248553,210608
248554,57222
248555,172741
248556,164611
248557,153283
248558,153283
248559,199962
248560,133932
248561,57222
248562,199962
248563,57222
248564,57222
248565,37707
248566,153283
248567,47173
248568,221598
248569,42834
248570,153283
248571,15082
248572,79641
248573,59249
248574,156881
248575,186431
248576,13430
248577,47173
248578,50408
248579,121098
248580,47173
248581,24418
248582,34120
248583,64850
248584,156891
248585,13443
248586,296700
248587,282306
248588,18338
248589,13430
248590,158146
248591,153283
248592,37707
248593,64850
248594,296700
248595,108746
248596,10064
248597,296700
248598,224133
